id,name,card,desc,caption
0,Shao,King ♣️,"The Chicken Shop Boss","""𝐊𝐢𝐧𝐠 ♣️ - 𝑻𝒉𝒆 𝑪𝒉𝒊𝒄𝒌𝒆𝒏 𝑺𝒉𝒐𝒑 𝑩𝒐𝒔𝒔 𝒂𝒌𝒂 ""𝑻𝒉𝒆 𝑪𝒐𝒍𝒐𝒏𝒆𝒍"" The Feds are puzzled. Surely, this franchisee's a front for something? The freezers, the tills, the warm lighting... Everything's where they should be... ""𝑻𝒉𝒆𝒊𝒓 𝒄𝒉𝒊𝒄𝒌𝒆𝒏'𝒔 𝒕𝒐 𝒅𝒊𝒆 𝒇𝒐𝒓! 𝑳𝒊𝒕𝒆𝒓𝒂𝒍𝒍𝒚!"" """
1,Mun Yee,Ace ♠️,"The Reverse Architect","""𝐀𝐜𝐞 ♠️ - 𝑻𝒉𝒆 𝑹𝒆𝒗𝒆𝒓𝒔𝒆 𝑨𝒓𝒄𝒉𝒊𝒕𝒆𝒄𝒕 𝒂𝒌𝒂 ""𝑻𝒉𝒆 𝑪𝒂𝒓𝒐𝒖𝒔𝒆𝒍𝒍𝒆𝒓"" Reverse-engineers a building's design to find structural weaknesses, hidden passages, how to get in and out. Loves blueprints, probably."""
2,Ping,Jack ♣️,"The Wheelman. Freddie (car)","""𝐉𝐚𝐜𝐤 ♣️ - 𝑻𝒉𝒆 𝑾𝒉𝒆𝒆𝒍𝒎𝒂𝒏 𝒂𝒌𝒂 𝑭𝒓𝒆𝒅𝒅𝒊𝒆 𝒕𝒉𝒆 𝑪𝒂𝒓 Drop offs, quick escapes, understands the city traffic and layout, treats his car like a tamed monster. Zoom Zoom Kaboom!"""
3,Steve,King ♦️,"The Money","""𝐊𝐢𝐧𝐠 ♦️- 𝑻𝒉𝒆 𝑴𝒐𝒏𝒆𝒚 He doesn't do the break in... it's not his style. But he knows what it costs to get in, what it costs to get out, and, with an unnerving precision, exactly what each person in this room would accept to betray the others."""
4,Bing,Queen ♣️,"The Informant","""𝐐𝐮𝐞𝐞𝐧 ♣️ - 𝑻𝒉𝒆 𝑰𝒏𝒇𝒐𝒓𝒎𝒂𝒏𝒕 Your unsuspecting bro who you can either find at the newspaper stand, beside the vending machine, or in the alleyway. Information? No problem."""
5,Zul,Jack ♠️,"The Quartermaster / Cleaner","""𝐉𝐚𝐜𝐤 ♠️ - 𝑻𝒉𝒆 𝑸𝒖𝒂𝒓𝒕𝐞𝐫𝒎𝒂𝒔𝒕𝒆𝒓 𝒂𝒌𝒂 ""𝑻𝒉𝒆 𝑪𝒍𝒆𝒂𝒏𝒆𝒓"" Heists are messy and I am good at cleaning up, give me your mess and I will make sure we leave squeaky clean. Just tip me well on the way out and keep my namecard hidden."""
6,Michelle,Queen ♦️,"The Counterfeit","""𝐐𝐮𝐞𝐞𝐧 ♦️- 𝑻𝒉𝒆 Counterfeit Times are hard. She's unemployed, did a 2-day resin class, a 3D printing workshop, and is currently learning Photoshop on TikTok. She has drive and a will to learn. Need something imitated? PLEASE give her a call. If you squint, you'll see the resemblance. She will make sure you do. """
7,Shirin,Jack ❤️,"The Accent Teacher","""𝐉𝐚𝐜𝐤 ❤️ - 𝑻𝒉𝒆 𝑨𝒄𝒄𝒆𝒏𝒕 𝑻𝒆𝒂𝒄𝒉𝒆𝒓 She's undercover yet again... but she's never been that good at it... through a series of misunderstandings, she isn't aware of how inefficient her disguising and sleuthing is because her plans always seem to pan out somehow"""
8,Nat,King ♠️,"The Accountant","""𝐊𝐢𝐧𝐠 ♠️- 𝑻𝒉𝒆 𝑨𝒄𝒄𝒐𝒖𝒏𝒕𝒂𝒏𝒕 As sirens echo throughout the city, he proves a VLOOKUP isn't the only thing he excels in, quietly killing the entire paper trail with a single, ruthless CTRL + Z."""
9,Chris,King ❤️,"The Sweet Talker","""𝐊𝐢𝐧𝐠 ❤️ - 𝑻𝒉𝒆 𝑺𝒘𝒆𝒆𝒕 𝑻𝒂𝒍𝒌𝒆𝒓 Working at Sweettalk and acting Koi. Rather share than having Each a Cup. Always choosing Lihos over bros. Can you be my playmade?"""
